./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_0_Delta_0.10001_runnerUp_1, Type: AIOFF, AItime 00:00:00,, SAT, 39018, 00:00:39
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_0_Delta_0.10001_runnerUp_1, Type: AIBOXSym, AItime 00:00:00,, SAT, 44727, 00:00:44
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_0_Delta_0.10001_runnerUp_1, Type: AITOPO, AItime 00:00:00,, SAT, 55018, 00:00:55
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_0_Delta_0.07501_runnerUp_1, Type: AIOFF, AItime 00:00:00,, SAT, 123081, 00:02:03
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_0_Delta_0.07501_runnerUp_1, Type: AIBOXSym, AItime 00:00:00,, SAT, 35880, 00:00:35
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_0_Delta_0.07501_runnerUp_1, Type: AITOPO, AItime 00:00:00,, SAT, 223104, 00:03:43
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_0_Delta_0.05001_runnerUp_1, Type: AIOFF, AItime 00:00:00,, SAT, 14710, 00:00:14
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_0_Delta_0.05001_runnerUp_1, Type: AIBOXSym, AItime 00:00:00,, SAT, 14406, 00:00:14
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_0_Delta_0.05001_runnerUp_1, Type: AITOPO, AItime 00:00:00,, SAT, 10376, 00:00:10
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_0_Delta_0.02501_runnerUp_1, Type: AIOFF, AItime 00:00:00,, UNSAT, 153266, 00:02:33
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_0_Delta_0.02501_runnerUp_2, Type: AIOFF, AItime 00:00:00,, UNSAT, 183942, 00:03:03
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_0_Delta_0.02501_runnerUp_3, Type: AIOFF, AItime 00:00:00,, UNSAT, 158739, 00:02:38
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_0_Delta_0.02501_runnerUp_4, Type: AIOFF, AItime 00:00:00,, UNSAT, 141880, 00:02:21
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_0_Delta_0.02501_runnerUp_1, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 79366, 00:01:19
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_0_Delta_0.02501_runnerUp_2, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 50241, 00:00:50
